iter	Passed	Remaining
137	2304	81203
138	2323	81245
139	2338	81182
140	2352	81064
141	2366	80955
142	2382	80920
143	2402	81030
144	2423	81148
145	2441	81174
146	2456	81110
147	2470	80998
148	2488	81011
149	2504	80970
150	2518	80888
151	2536	80893
152	2553	80897
153	2567	80804
154	2582	80721
155	2592	80498
156	2606	80409
157	2621	80333
158	2636	80287
159	2649	80152
160	2662	80033
161	2679	80014
162	2691	79879
163	2703	79720
164	2717	79639
165	2730	79520
166	2742	79371
167	2752	79173
168	2766	79081
169	2785	79148
170	2800	79088
171	2817	79097
172	2834	79098
173	2849	79035
174	2863	78945
175	2881	78983
176	2895	78909
177	2907	78766
178	2919	78618
179	2932	78525
180	2944	78402
181	2955	78250
182	2965	78055
183	2979	77983
184	2997	78026
185	3015	78044
186	3028	77943
187	3042	77873
188	3055	77787
189	3066	77637
190	3079	77546
191	3093	77455
192	3108	77427
193	3124	77410
194	3138	77336
195	3150	77220
196	3164	77159
197	3174	76989
198	3189	76940
199	3200	76810
200	3210	76657
201	3223	76558
202	3237	76507
203	3248	76369
204	3258	76214
205	3275	76222
206	3292	76233
207	3309	76235
208	3321	76142
209	3336	76105
210	3351	76059
211	3363	75963
212	3380	75978
213	3394	75910
214	3405	75802
215	3419	75726
216	3435	75721
217	3450	75697
218	3467	75691
219	3481	75647
220	3494	75558
221	3506	75479
222	3519	75392
223	3534	75350
224	3549	75317
225	3563	75285
226	3576	75209
227	3588	75103
228	3600	75017
229	3614	74970
230	3627	74880
231	3640	74828
232	3650	74694
233	3662	74601
234	3680	74624
235	3690	74502
236	3702	74401
237	3714	74314
238	3724	74192
239	3737	74119
240	3751	74077
241	3759	73912
242	3772	73843
243	3788	73853
244	3800	73764
245	3815	73727
246	3828	73667
247	3841	73606
248	3852	73508
249	3869	73516
250	3883	73475
251	3896	73417
252	3910	73365
253	3924	73332
254	3934	73221
255	3944	73099
256	3961	73117
257	3975	73060
258	3986	72970
259	3999	72910
260	4011	72828
261	4024	72781
262	4042	72818
263	4062	72874
264	4077	72850
265	4091	72819
266	4105	72781
267	4119	72742
268	4131	72654
269	4144	72603
270	4148	72384
271	4159	72305
272	4176	72323
273	4190	72280
274	4203	72228
275	4216	72170
276	4228	72099
277	4240	72027
278	4252	71949
279	4266	71916
280	4280	71881
281	4292	71818
282	4304	71739
283	4321	71762
284	4337	71755
285	4355	71782
286	4372	71795
287	4386	71770
288	4402	71757
289	4414	71699
290	4428	71669
291	4440	71592
292	4451	71510
293	4469	71539
294	4482	71491
295	4498	71484
296	4510	71417
297	4522	71352
298	4532	71262
299	4550	71287
300	4552	71076
301	4566	71034
302	4579	70991
303	4591	70928
304	4604	70874
305	4619	70859
306	4633	70832
307	4648	70808
308	4662	70776
309	4677	70759
310	4694	70774
311	4709	70761
312	4726	70776
313	4744	70806
314	4764	70866
315	4787	70963
316	4800	70924
317	4815	70899
318	4829	70871
319	4842	70827
320	4859	70839
321	4874	70822
322	4893	70859
323	4913	70906
324	4927	70880
325	4943	70875
326	4960	70893
327	4975	70869
328	4987	70815
329	4998	70741
330	5010	70671
331	5024	70647
332	5039	70634
333	5058	70672
334	5073	70646
335	5085	70593
336	5096	70519
337	5105	70412
338	5113	70313
339	5123	70215
340	5132	70119
341	5147	70107
342	5157	70023
343	5168	69961
344	5180	69902
345	5190	69812
346	5200	69728
347	5209	69644
348	5218	69547
349	5230	69495
350	5241	69422
351	5250	69325
352	5263	69290
353	5274	69223
354	5284	69139
355	5295	69083
356	5304	68986
357	5314	68909
358	5324	68831
359	5332	68735
360	5344	68676
361	5352	68579
362	5362	68505
363	5373	68443
364	5382	68348
365	5393	68290
366	5403	68217
367	5412	68127
368	5422	68058
369	5431	67966
370	5443	67914
371	5453	67851
372	5463	67771
373	5476	67744
374	5486	67672
375	5495	67585
376	5508	67547
377	5519	67488
378	5529	67416
379	5542	67379
380	5553	67321
381	5564	67266
382	5579	67261
383	5591	67215
384	5606	67199
385	5616	67133
386	5627	67075
387	5640	67048
388	5651	66986
389	5661	66918
390	5672	66871
391	5683	66813
392	5693	66743
393	5707	66722
394	5721	66700
395	5738	66718
396	5749	66665
397	5759	66598
398	5772	66561
399	5783	66515
400	5792	66438
401	5804	66390
402	5815	66333
403	5823	66253
404	5836	66223
